Category,Sub-Category,Artist,Title,Carousel Info,Available,Visible
Acting & Performing Arts,Bring Unforgettable Characters to Life,David Lynch,Creativity and Film,,false,true
Acting & Performing Arts,Bring Unforgettable Characters to Life,Steve Martin,Comedy,,false,true
Acting & Performing Arts,Bring Unforgettable Characters to Life,Helen Mirren,Acting,,false,true
Acting & Performing Arts,Bring Unforgettable Characters to Life,Nancy Cartwright,Voice Acting,,false,true
Acting & Performing Arts,Bring Unforgettable Characters to Life,Happy Clothes,A Film About Patricia Field,,false,true
Acting & Performing Arts,Bring Unforgettable Characters to Life,Jodie Foster,Filmmaking,,false,true
Acting & Performing Arts,Bring Unforgettable Characters to Life,Samuel L. Jackson,Acting,,false,true
Acting & Performing Arts,Bring Unforgettable Characters to Life,Natalie Portman,Acting,,false,true
Acting & Performing Arts,Develop Comedy & Improv Skills,Judd Apatow,Comedy,,false,true
Acting & Performing Arts,Develop Comedy & Improv Skills,Amy Poehler,Prepare to Be Unprepared,,false,true
Acting & Performing Arts,Develop Comedy & Improv Skills,Steve Martin,Comedy,,false,false
Acting & Performing Arts,Develop Comedy & Improv Skills,David Sedaris,Storytelling and Humor,,false,true
Acting & Performing Arts,Develop Comedy & Improv Skills,Kevin Hart,Using Humor to Make Your Mark,,false,true
Acting & Performing Arts,"Learn the Art of Theater, Dance, & Magic",Es Devlin,Turning Ideas Into Art,,false,true
Acting & Performing Arts,"Learn the Art of Theater, Dance, & Magic",Penn & Teller,The Art of Magic,,false,true
Acting & Performing Arts,"Learn the Art of Theater, Dance, & Magic",Misty Copeland,Technique and Artistry,,false,true
Acting & Performing Arts,"Learn the Art of Theater, Dance, & Magic",Helen Mirren,Acting,,false,false
Acting & Performing Arts,"Learn the Art of Theater, Dance, & Magic",Parris Goebel,Creativity in Choreography,,false,true
Acting & Performing Arts,"Learn the Art of Theater, Dance, & Magic",David Mamet,Dramatic Writing,,false,true
Acting & Performing Arts,Overcome Stage Fright & Gain Confidence,Misty Copeland,Technique and Artistry,,false,false
Acting & Performing Arts,Overcome Stage Fright & Gain Confidence,Judd Apatow,Comedy,,false,false
Acting & Performing Arts,Overcome Stage Fright & Gain Confidence,Amy Poehler,Prepare to Be Unprepared,,false,false
Acting & Performing Arts,Overcome Stage Fright & Gain Confidence,Steve Martin,Comedy,,false,false
Acting & Performing Arts,Overcome Stage Fright & Gain Confidence,Danny Elfman,Music for Film,,false,true
Acting & Performing Arts,Overcome Stage Fright & Gain Confidence,Helen Mirren,Acting,,false,false
Acting & Performing Arts,Overcome Stage Fright & Gain Confidence,Kevin Hart,Using Humor to Make Your Mark,,false,false
